timestamp,heart_rate
0,87
1,87
2,88
3,87
4,87
5,88
6,89
7,89
8,89
9,88
10,89
11,88
12,88
13,87
14,84
15,83
16,81
17,79
18,77
19,77
20,77
21,79
22,80
23,81
24,81
25,81
26,82
27,84
28,84
29,83
30,83
31,81
32,81
33,82
34,82
35,83
36,83
37,84
38,84
39,85
40,85
41,86
42,87
43,87
44,88
45,89
46,89
47,89
48,89
49,89
50,89
51,89
52,89
53,89
54,89
55,88
56,87
57,86
58,85
59,85
60,85
61,85
62,86
63,86
64,86
65,86
66,86
67,85
68,86
69,86
70,86
71,86
72,86
73,87
74,87
75,86
76,85
77,85
78,85
79,84
80,84
81,85
82,84
83,83
84,83
85,83
86,83
87,83
88,83
89,83
90,83
91,83
92,83
93,83
94,83
95,83
96,83
97,83
98,83
99,83
100,84
101,83
102,83
103,85
104,82
105,79
106,77
107,76
108,75
109,75
110,76
111,76
112,75
113,76
114,76
115,77
116,79
117,79
118,79
119,80
120,80
121,80
122,80
123,80
124,80
125,79
126,79
127,79
128,80
129,80
130,80
131,80
132,80
133,80
134,80
135,80
136,79
137,78
138,77
139,78
140,78
141,78
142,78
143,78
144,77
145,74
146,74
147,75
148,76
149,77
150,77
151,77
152,77
153,77
154,77
155,78
156,79
157,81
158,81
159,83
160,83
161,83
162,82
163,82
164,81
165,81
166,81
167,79
168,78
169,77
170,77
171,76
172,76
173,76
174,75
175,74
176,74
177,74
178,74
179,73
180,74
181,73
182,73
183,73
184,74
185,75
186,75
187,75
188,75
189,76
190,78
191,78
192,79
193,79
194,80
195,79
196,79
197,78
198,78
199,78
200,78
201,79
202,79
203,79
204,79
205,79
206,79
207,79
208,73
209,69
210,68
211,73
212,77
213,73
214,70
215,70
216,70
217,74
218,76
219,77
220,74
221,73
222,73
223,73
224,73
225,73
226,73
227,73
228,73
229,74
230,74
231,74
232,74
233,74
234,75
235,76
236,77
237,79
238,81
239,81
240,81
241,81
242,80
243,80
244,80
245,80
246,79
247,79
248,79
249,79
250,78
251,77
252,77
253,78
254,78
